Program Number,Program Name,Budget Request Documentation Section Content
0201,Senior Services,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program provides for oversight of nutrition, social services, and special programs for older adults funded through federal and state grants and designated local sales tax revenues."
0202,Family Caregiver Services,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program provides for direct provision of health, social, and supportive services to adults caring for seniors or to seniors caring for grandchildren and other family members."
0203,Older Workers Program,"Priority Outcome: Promote good jobs for Angelenos all across Los Angeles_x000D_
This program provides for direct provision of job training and placement services to assist low-income individuals 55 years or older to obtain unsubsidized employment."
0601,Animal Control and Law Enforcement,"Priority Outcome: Ensure our communities are the safest in the nation_x000D_
This program provides 24-hour coverage by Animal Control Officers to address animal cruelty and issues causing danger to people and animals; enforces all laws related to the health, care, licensing, treatment, and impoundment of animals; and investigates nuisances created by animals. Program staff also rescues wildlife and other animals; provides emergency-related animal care and control; impounds vicious or dangerous animals; inspects and issues permits for animal establishments; collects fees and revenue; manages the Administrative Citation Enforcement (ACE) program, and issues ACE citations."
0602,Shelter Operations and Animal Care,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program provides staff to impound animals received at animal shelters; manages shelter facilities; provides safe and secure housing, food, and humane care for impounded animals; quarantines sick or dangerous animals and animals held as evidence; assists in providing medical care, adoption and live-release of animals; and receives fees for services as established by the Los Angeles Municipal Code and State law. _x000D_
"
0603,License Processing,"As a result of the realignment of resources to reflect the Department's current organizational structure, positions and funding in this budgetary program have been transferred to Animal Control and Law Enforcement."
0607,Animal Medical Services,"Priority Outcome: Create a more livable and sustainable city_x000D_
This program provides veterinary care for all impounded animals, including vaccinations and critical medical treatment for injured or sick animals; maintains medical records for each animal processed through the City's shelters; provides or facilitates sterilization of shelter animals through in-house staff or contracted on-site and off-site clinics and veterinarians; examines and processes animals in support of animal cruelty cases; testifies in court regarding animal medical conditions; and euthanizes animals to relieve irremediable suffering of animals._x000D_
_x000D_
"
0609,Public Counters and Community Services,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program provides support to all shelter, field and medical operations; staffs public counters; assists customers in owner surrenders, redemptions, and adoptions; records adoption transactions; maintains the animal database; completes financial transactions; receives, records and deposits money; answers calls from the public; and responds to information requests from animal owners, the public and other City employees."
0649,Technology Support,"As a result of the realignment of resources to reflect the Department's current organizational structure, positions and funding in this budgetary program have been transferred to General Administration and Support."
0650,General Administration and Support,"This program provides the overall management and general administrative support necessary to effectively operate the Department including communications with the public, executive oversight, financial management, accounting, payroll, budgeting, purchasing, contracting and other services.  This program also provides communication with community members and information technology and telephone support for all seven Department locations and supports public access to the Department through its website, including maintaining online licensing functions and publishing performance data."
0801,Residential Engineering Plan Checking,"As a result of the realignment of resources to reflect the Department's current organizational structure, positions and funding in this budgetary program have been transferred to various other budgetary programs within the Department."
0802,New Commercial Construction Inspection,"As a result of the realignment of resources to reflect the Department's current organizational structure, positions and funding in this budgetary program have been transferred to various other budgetary programs within the Department. _x000D_
"
0804,Conservation of Existing Structures and Mechanical Devices,"As a result of the realignment of resources to reflect the Department's current organizational structure, positions and funding in this budgetary program have been transferred to various other budgetary programs within the Department."
0811,Structural Plan Checking,"Priority Outcome: Promote good jobs for Angelenos all across Los Angeles_x000D_
This program includes accepting and reviewing plans and issuing structural permits for construction projects which include new buildings, additions, remodels or repair of single-family dwellings, duplexes, apartments, industrial, commercial, and office buildings, and engineering plan checking for structural and permit issuing."
0812,Green Buildings and Electrical and Mechanical Engineering,"Priority Outcome: Promote good jobs for Angelenos all across Los Angeles _x000D_
This program consists of the Green Building, Electrical and Mechanical Plan Check, and Test Lab Sections and is responsible for accepting and reviewing plans for compliance with Green, Electrical, and Mechanical codes; issuing electrical and mechanical permits for new construction, additions, remodels, or repair of single-family dwellings, duplexes, apartments, industrial, commercial, and office buildings; reviewing, testing, and approving electrical and mechanical (e.g., heating, air conditioning, ventilating, and plumbing) products or materials; and reviewing and approving alternate methods of construction."
0813,Grading Reports and Inspection,"Priority Outcome: Promote good jobs for Angelenos all across Los Angeles _x000D_
This program provides plan check and inspection services for slope repairs, landslide repairs or removal, tract grading, mass grading, site preparation, removal and recompaction for building pads, basement excavations for new buildings in hillside areas, pool excavations for new pools in hillside areas, retaining walls cuts, back-cuts and backfill, and fault studies."
0814,Residential Inspection,"Priority Outcome: Promote good jobs for Angelenos all across Los Angeles _x000D_
This program provides residential inspection services for one- and two-family dwellings, including new structures, additions, alterations, swimming pools, retaining walls, various accessory structures, and demolition of existing structures."
0815,Commercial Inspection and Licensing,"Priority Outcome: Promote good jobs for Angelenos all across Los Angeles _x000D_
This program is responsible for the inspection of all construction or work for which a permit is required relating to all commercial and multi-residential buildings for compliance with the building, plumbing, electrical, mechanical, disabled access, HVAC, elevator and pressure vessel, fire life safety and zoning codes to ensure all commercial and multi-residential buildings in Los Angeles are built safe, strengthening the City's resilience against natural disasters, and providing peace of mind to our residents. Additional program responsibilities include the inspection of new or altered on-site and off-site signs and inspection of facilities used at temporary events."
0816,Development Services Case Management,"Priority Outcome: Promote good jobs for Angelenos all across Los Angeles _x000D_
This program helps customers navigate through the City's development process to ensure an efficient, transparent, predictable process, resulting in high-quality development that addresses community needs and improves the quality of life in Los Angeles."
0817,Residential and Commercial Code Enforcement,"Priority Outcome: Create a more livable and sustainable city _x000D_
This program is responsible for the enforcement of various codes as they relate to illegal construction, illegal signs, zoning violations, and nuisance properties."
0818,Conservation of Existing Structures and Mechanical Devices,"Priority Outcome: Create a more livable and sustainable city _x000D_
This program is responsible for preserving and enhancing the safety, appearance and economic stability of the community through the diligent enforcement of applicable ordinances, systematic and periodic inspections, and land-use regulations to enforce environmental laws pertaining to landfill operations, auto repair facilities, recycling facilities, and Zoning and Building codes including offsite signs."
0848,Development Services Systems,"Priority Outcome: Promote good jobs for Angelenos all across Los Angeles _x000D_
This program serves as the central point for the development, implementation and maintenance of the BuildLA Project.  BuildLA is a series of interconnected systems that will collectively deliver development services citywide through a single Development Services online portal."
0849,Technology Support,"This program provides support to operating programs through the continuing review and modification of existing code provisions, development and support of automated systems, and technical training."
0850,General Administration and Support,"This program is responsible for financial control, budget, contracts, grants, facility maintenance, training, communication services, and general administration."
1001,Budget Formulation and Control,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program provides for assistance to the Mayor and Council in the preparation and administration of the annual budget and develops recommendations for the Mayor and Council on fiscal, legislative, grants, and other City matters."
1002,Management Services,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program provides for administrative studies, management surveys, and systems analyses of operating departments and bureaus, and of governmental organization and operations. Included in this program is the Innovation and Performance Commission (formerly known as the Quality and Productivity Commission) support and the Office of the Inspector General for Revenue Collection."
1003,Employee Relations Compensation and Benefits,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program supports and oversees all activities associated with carrying out the City's employee relations management responsibilities as directed by the Executive Employee Relations Committee and in conformance with the California Meyers-Milias-Brown Act and the City's Employee Relations Ordinance."
1004,Risk Management,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
As mandated by the Los Angeles Administrative Code, the CAO provides risk management services and assistance, including studies, reports, analyses, assessments, and recommendations with respect to risks and potential liabilities presented by the operation, practices, and conditions existing in City departments, including but not limited to administering funds to provide for losses, placement of insurance contracts, insurance and bonds compliance, and assisting in the management of claims/litigation presented against the City. Risk Management identifies and analyzes the City's loss exposure and develops risk control techniques to protect the City to the maximum extent feasible against loss or liability."
1005,Office of Public Accountability,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program provides public independent analysis of Department of Water and Power (DWP) actions as they relate to water and electricity rates and operations, as authorized by the Charter, which includes, and is not limited to, the following efforts: 1) review and analysis of proposed utility rate proposals and periodic adjustments; 2) evaluation of and advice on DWP long-term strategic plans, operations, budget, finances, and performance; 3) review of major plans, programs, projects, policies, contracts, costs, and utility rates; and, 4) analysis of customer data to evaluate of customer service performance at DWP. _x000D_
_x000D_
This Charter-mandated activity was previously budgeted within the Office of the City Administrative Officer for administrative purposes only. As of July 1, 2017 this Office will be an independent department."
1006,Debt Management,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program structures debt issuances and oversees the ongoing management of all the General Fund and certain special fund debt programs. These include General Obligation Bonds, lease purchase obligations, revenue obligations, Judgment Obligation Bonds, special tax obligations, and Mello-Roos and special assessment obligations. Other programs are added from time to time as new debt instruments are developed.  Careful monitoring of such issuances is required to preserve the City's credit strength, budget flexibility, and to comply with bond covenants and federal requirements."
1007,Asset Management and Capital Projects,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
The Asset Management and Capital Projects Program works to maximize the use and efficiency of City-owned real estate by engaging in master planning, managing and providing oversight of real-estate related transactions, and identifying development opportunities for increased economic and community benefits through real estate development."
1008,Proprietary Analysis,"Priority Outcome: Make Los Angeles the best run big city in America_x000D_
This program provides for research, analysis of, and recommendations on the activities and operations of proprietary departments and for regulation of municipal controls over petroleum exploration and production on City property."
1050,General Administration and Support,"This program provides for administrative, clerical, and systems support to operational programs, and reporting to the Mayor and Council on City matters."
